Iso_code,Country,Relationship,Year,Unity,Value
MNG,Mongolia,Intimate partner or family member,2016,Counts,17
NZL,New Zealand,Intimate partner or family member,2016,Counts,534
ROU,Romania,Intimate partner or family member,2016,Counts,264
SVK,Slovakia,Intimate partner or family member,2016,Counts,0
SVN,Slovenia,Intimate partner or family member,2016,Counts,60
VEN,Venezuela (Bolivarian Republic of),Intimate partner or family member,2016,Counts,130
AUS,Australia,Intimate partner or family member,2017,Counts,7456
AUT,Austria,Intimate partner or family member,2017,Counts,555
AZE,Azerbaijan,Intimate partner or family member,2017,Counts,2
BHS,Bahamas,Intimate partner or family member,2017,Counts,37
BOL,Bolivia (Plurinational State of),Intimate partner or family member,2017,Counts,683
CAN,Canada,Intimate partner or family member,2017,Counts,7565
CHE,Switzerland,Intimate partner or family member,2017,Counts,604
COL,Colombia,Intimate partner or family member,2017,Counts,1862
DEU,Germany,Intimate partner or family member,2017,Counts,5737
ESP,Spain,Intimate partner or family member,2017,Counts,1115
FIN,Finland,Intimate partner or family member,2017,Counts,199
FRA,France,Intimate partner or family member,2017,Counts,8909
GTM,Guatemala,Intimate partner or family member,2017,Counts,31
HUN,Hungary,Intimate partner or family member,2017,Counts,204
KGZ,Kyrgyzstan,Intimate partner or family member,2017,Counts,10
KNA,Saint Kitts and Nevis,Intimate partner or family member,2017,Counts,1
LTU,Lithuania,Intimate partner or family member,2017,Counts,34
LVA,Latvia,Intimate partner or family member,2017,Counts,50
MEX,Mexico,Intimate partner or family member,2017,Counts,2752
MNG,Mongolia,Intimate partner or family member,2017,Counts,20
NZL,New Zealand,Intimate partner or family member,2017,Counts,575
OMN,Oman,Intimate partner or family member,2017,Counts,0
PAN,Panama,Intimate partner or family member,2017,Counts,108
ROU,Romania,Intimate partner or family member,2017,Counts,312
SLV,El Salvador,Intimate partner or family member,2017,Counts,914
SVK,Slovakia,Intimate partner or family member,2017,Counts,1
SVN,Slovenia,Intimate partner or family member,2017,Counts,61
VEN,Venezuela (Bolivarian Republic of),Intimate partner or family member,2017,Counts,100
ALB,Albania,Intimate partner or family member,2018,Counts,1
AUS,Australia,Intimate partner or family member,2018,Counts,7645
AUT,Austria,Intimate partner or family member,2018,Counts,635
BHS,Bahamas,Intimate partner or family member,2018,Counts,39
BOL,Bolivia (Plurinational State of),Intimate partner or family member,2018,Counts,621
CAN,Canada,Intimate partner or family member,2018,Counts,9159
CHE,Switzerland,Intimate partner or family member,2018,Counts,747
COL,Colombia,Intimate partner or family member,2018,Counts,1768
DEU,Germany,Intimate partner or family member,2018,Counts,6542
ESP,Spain,Intimate partner or family member,2018,Counts,1397
FIN,Finland,Intimate partner or family member,2018,Counts,252
FRA,France,Intimate partner or family member,2018,Counts,10431
GTM,Guatemala,Intimate partner or family member,2018,Counts,25
GUY,Guyana,Intimate partner or family member,2018,Counts,69
HRV,Croatia,Intimate partner or family member,2018,Counts,198
HUN,Hungary,Intimate partner or family member,2018,Counts,95
KGZ,Kyrgyzstan,Intimate partner or family member,2018,Counts,17
KNA,Saint Kitts and Nevis,Intimate partner or family member,2018,Counts,1
LTU,Lithuania,Intimate partner or family member,2018,Counts,32
LVA,Latvia,Intimate partner or family member,2018,Counts,56
MEX,Mexico,Intimate partner or family member,2018,Counts,2287
MMR,Myanmar,Intimate partner or family member,2018,Counts,79
MNG,Mongolia,Intimate partner or family member,2018,Counts,16
NZL,New Zealand,Intimate partner or family member,2018,Counts,496
OMN,Oman,Intimate partner or family member,2018,Counts,0
PAN,Panama,Intimate partner or family member,2018,Counts,242
ROU,Romania,Intimate partner or family member,2018,Counts,311
SLV,El Salvador,Intimate partner or family member,2018,Counts,883
SVK,Slovakia,Intimate partner or family member,2018,Counts,2
SVN,Slovenia,Intimate partner or family member,2018,Counts,59
VEN,Venezuela (Bolivarian Republic of),Intimate partner or family member,2018,Counts,76
AUS,Australia,Intimate partner or family member,2019,Counts,7690
AUT,Austria,Intimate partner or family member,2019,Counts,888
AZE,Azerbaijan,Intimate partner or family member,2019,Counts,2
BOL,Bolivia (Plurinational State of),Intimate partner or family member,2019,Counts,2205
CAN,Canada,Intimate partner or family member,2019,Counts,10566
CHE,Switzerland,Intimate partner or family member,2019,Counts,732
DEU,Germany,Intimate partner or family member,2019,Counts,6762
ESP,Spain,Intimate partner or family member,2019,Counts,1413
FIN,Finland,Intimate partner or family member,2019,Counts,305
FRA,France,Intimate partner or family member,2019,Counts,12931
GBR_E_W,United Kingdom (England and Wales),Intimate partner or family member,2019,Counts,126
GTM,Guatemala,Intimate partner or family member,2019,Counts,12
GUY,Guyana,Intimate partner or family member,2019,Counts,174
HRV,Croatia,Intimate partner or family member,2019,Counts,289
HUN,Hungary,Intimate partner or family member,2019,Counts,114
KGZ,Kyrgyzstan,Intimate partner or family member,2019,Counts,47
KNA,Saint Kitts and Nevis,Intimate partner or family member,2019,Counts,0
LTU,Lithuania,Intimate partner or family member,2019,Counts,38
LVA,Latvia,Intimate partner or family member,2019,Counts,49
MEX,Mexico,Intimate partner or family member,2019,Counts,6476
MNG,Mongolia,Intimate partner or family member,2019,Counts,15
PAN,Panama,Intimate partner or family member,2019,Counts,404
ROU,Romania,Intimate partner or family member,2019,Counts,342
SLV,El Salvador,Intimate partner or family member,2019,Counts,1077
SVK,Slovakia,Intimate partner or family member,2019,Counts,0
SVN,Slovenia,Intimate partner or family member,2019,Counts,49
SWE,Sweden,Intimate partner or family member,2019,Counts,2242
AUS,Australia,Intimate partner or family member,2020,Counts,8723
AUT,Austria,Intimate partner or family member,2020,Counts,874
BOL,Bolivia (Plurinational State of),Intimate partner or family member,2020,Counts,2136
CAN,Canada,Intimate partner or family member,2020,Counts,10933
CHE,Switzerland,Intimate partner or family member,2020,Counts,738
CZE,Czechia,Intimate partner or family member,2020,Counts,320
DEU,Germany,Intimate partner or family member,2020,Counts,7280
ESP,Spain,Intimate partner or family member,2020,Counts,1531
FIN,Finland,Intimate partner or family member,2020,Counts,294
FRA,France,Intimate partner or family member,2020,Counts,15037
GTM,Guatemala,Intimate partner or family member,2020,Counts,11
GUY,Guyana,Intimate partner or family member,2020,Counts,175
HRV,Croatia,Intimate partner or family member,2020,Counts,257
HUN,Hungary,Intimate partner or family member,2020,Counts,154
KGZ,Kyrgyzstan,Intimate partner or family member,2020,Counts,31
KNA,Saint Kitts and Nevis,Intimate partner or family member,2020,Counts,2
LTU,Lithuania,Intimate partner or family member,2020,Counts,24
LVA,Latvia,Intimate partner or family member,2020,Counts,52
MAR,Morocco,Intimate partner or family member,2020,Counts,14
MEX,Mexico,Intimate partner or family member,2020,Counts,7533
MMR,Myanmar,Intimate partner or family member,2020,Counts,3
MNG,Mongolia,Intimate partner or family member,2020,Counts,14
OMN,Oman,Intimate partner or family member,2020,Counts,6
PAN,Panama,Intimate partner or family member,2020,Counts,210
ROU,Romania,Intimate partner or family member,2020,Counts,439
SLV,El Salvador,Intimate partner or family member,2020,Counts,759
SVK,Slovakia,Intimate partner or family member,2020,Counts,0
SVN,Slovenia,Intimate partner or family member,2020,Counts,54
SWE,Sweden,Intimate partner or family member,2020,Counts,2236
AUS,Australia,Intimate partner or family member,2021,Counts,10063
AUT,Austria,Intimate partner or family member,2021,Counts,885
BHS,Bahamas,Intimate partner or family member,2021,Counts,17
BLZ,Belize,Intimate partner or family member,2021,Counts,19
BOL,Bolivia (Plurinational State of),Intimate partner or family member,2021,Counts,2788
CAN,Canada,Intimate partner or family member,2021,Counts,13345
CHE,Switzerland,Intimate partner or family member,2021,Counts,679
COL,Colombia,Intimate partner or family member,2021,Counts,953
CZE,Czechia,Intimate partner or family member,2021,Counts,308
DEU,Germany,Intimate partner or family member,2021,Counts,7906
ESP,Spain,Intimate partner or family member,2021,Counts,1868
FIN,Finland,Intimate partner or family member,2021,Counts,351
FRA,France,Intimate partner or family member,2021,Counts,19448
GBR_E_W,United Kingdom (England and Wales),Intimate partner or family member,2021,Counts,182
GUY,Guyana,Intimate partner or family member,2021,Counts,367
HRV,Croatia,Intimate partner or family member,2021,Counts,156
HUN,Hungary,Intimate partner or family member,2021,Counts,143
KNA,Saint Kitts and Nevis,Intimate partner or family member,2021,Counts,8
LTU,Lithuania,Intimate partner or family member,2021,Counts,32
LVA,Latvia,Intimate partner or family member,2021,Counts,59
MEX,Mexico,Intimate partner or family member,2021,Counts,10551
ROU,Romania,Intimate partner or family member,2021,Counts,497
SLV,El Salvador,Intimate partner or family member,2021,Counts,749
SVK,Slovakia,Intimate partner or family member,2021,Counts,0
SVN,Slovenia,Intimate partner or family member,2021,Counts,72
SWE,Sweden,Intimate partner or family member,2021,Counts,2669
VAT,Holy See,Intimate partner or family member,2021,Counts,0
AUS,Australia,Intimate partner or family member,2022,Counts,10382
AUT,Austria,Intimate partner or family member,2022,Counts,843
BHS,Bahamas,Intimate partner or family member,2022,Counts,28
BLZ,Belize,Intimate partner or family member,2022,Counts,40
BOL,Bolivia (Plurinational State of),Intimate partner or family member,2022,Counts,3544
CAN,Canada,Intimate partner or family member,2022,Counts,13367
CHE,Switzerland,Intimate partner or family member,2022,Counts,808
COL,Colombia,Intimate partner or family member,2022,Counts,807
CZE,Czechia,Intimate partner or family member,2022,Counts,354
DEU,Germany,Intimate partner or family member,2022,Counts,8115
ESP,Spain,Intimate partner or family member,2022,Counts,1959
FIN,Finland,Intimate partner or family member,2022,Counts,319
FRA,France,Intimate partner or family member,2022,Counts,20940
GUY,Guyana,Intimate partner or family member,2022,Counts,275
HND,Honduras,Intimate partner or family member,2022,Counts,607
HRV,Croatia,Intimate partner or family member,2022,Counts,272
HUN,Hungary,Intimate partner or family member,2022,Counts,207
IRL,Ireland,Intimate partner or family member,2022,Counts,298
KNA,Saint Kitts and Nevis,Intimate partner or family member,2022,Counts,2
LTU,Lithuania,Intimate partner or family member,2022,Counts,28
LVA,Latvia,Intimate partner or family member,2022,Counts,68
MAR,Morocco,Intimate partner or family member,2022,Counts,99
MEX,Mexico,Intimate partner or family member,2022,Counts,14921
MMR,Myanmar,Intimate partner or family member,2022,Counts,31
ROU,Romania,Intimate partner or family member,2022,Counts,655
SLV,El Salvador,Intimate partner or family member,2022,Counts,493
SVK,Slovakia,Intimate partner or family member,2022,Counts,0
SVN,Slovenia,Intimate partner or family member,2022,Counts,67
SWE,Sweden,Intimate partner or family member,2022,Counts,2272
VAT,Holy See,Intimate partner or family member,2022,Counts,0
AUT,Austria,Other Perpetrator known to the victim,2013,Counts,845
CAN,Canada,Other Perpetrator known to the victim,2013,Counts,6155
CHE,Switzerland,Other Perpetrator known to the victim,2013,Counts,516
COL,Colombia,Other Perpetrator known to the victim,2013,Counts,12483
CZE,Czechia,Other Perpetrator known to the victim,2013,Counts,325
MMR,Myanmar,Other Perpetrator known to the victim,2013,Counts,203
AUT,Austria,Other Perpetrator known to the victim,2014,Counts,823
CAN,Canada,Other Perpetrator known to the victim,2014,Counts,6310
CHE,Switzerland,Other Perpetrator known to the victim,2014,Counts,599
COL,Colombia,Other Perpetrator known to the victim,2014,Counts,12483
CZE,Czechia,Other Perpetrator known to the victim,2014,Counts,325
DEU,Germany,Other Perpetrator known to the victim,2014,Counts,10024
MMR,Myanmar,Other Perpetrator known to the victim,2014,Counts,237
AUT,Austria,Other Perpetrator known to the victim,2015,Counts,761
BOL,Bolivia (Plurinational State of),Other Perpetrator known to the victim,2015,Counts,308
CAN,Canada,Other Perpetrator known to the victim,2015,Counts,6783
CHE,Switzerland,Other Perpetrator known to the victim,2015,Counts,625
COL,Colombia,Other Perpetrator known to the victim,2015,Counts,13621
CZE,Czechia,Other Perpetrator known to the victim,2015,Counts,336
DEU,Germany,Other Perpetrator known to the victim,2015,Counts,9943
LTU,Lithuania,Other Perpetrator known to the victim,2015,Counts,61
MMR,Myanmar,Other Perpetrator known to the victim,2015,Counts,192
NZL,New Zealand,Other Perpetrator known to the victim,2015,Counts,605
VEN,Venezuela (Bolivarian Republic of),Other Perpetrator known to the victim,2015,Counts,0
AUT,Austria,Other Perpetrator known to the victim,2016,Counts,1073
BOL,Bolivia (Plurinational State of),Other Perpetrator known to the victim,2016,Counts,452
CAN,Canada,Other Perpetrator known to the victim,2016,Counts,7723
CHE,Switzerland,Other Perpetrator known to the victim,2016,Counts,619
COL,Colombia,Other Perpetrator known to the victim,2016,Counts,13840
CZE,Czechia,Other Perpetrator known to the victim,2016,Counts,328
DEU,Germany,Other Perpetrator known to the victim,2016,Counts,11133
ESP,Spain,Other Perpetrator known to the victim,2016,Counts,931
GUY,Guyana,Other Perpetrator known to the victim,2016,Counts,3
HRV,Croatia,Other Perpetrator known to the victim,2016,Counts,14
HUN,Hungary,Other Perpetrator known to the victim,2016,Counts,210
LTU,Lithuania,Other Perpetrator known to the victim,2016,Counts,64
LVA,Latvia,Other Perpetrator known to the victim,2016,Counts,20
MMR,Myanmar,Other Perpetrator known to the victim,2016,Counts,312
MNG,Mongolia,Other Perpetrator known to the victim,2016,Counts,121
NZL,New Zealand,Other Perpetrator known to the victim,2016,Counts,607
VEN,Venezuela (Bolivarian Republic of),Other Perpetrator known to the victim,2016,Counts,1
AUT,Austria,Other Perpetrator known to the victim,2017,Counts,1176
BHS,Bahamas,Other Perpetrator known to the victim,2017,Counts,74
BOL,Bolivia (Plurinational State of),Other Perpetrator known to the victim,2017,Counts,322
CAN,Canada,Other Perpetrator known to the victim,2017,Counts,11099
CHE,Switzerland,Other Perpetrator known to the victim,2017,Counts,921
COL,Colombia,Other Perpetrator known to the victim,2017,Counts,15871
DEU,Germany,Other Perpetrator known to the victim,2017,Counts,12630
ESP,Spain,Other Perpetrator known to the victim,2017,Counts,928
HUN,Hungary,Other Perpetrator known to the victim,2017,Counts,158
KGZ,Kyrgyzstan,Other Perpetrator known to the victim,2017,Counts,163
KNA,Saint Kitts and Nevis,Other Perpetrator known to the victim,2017,Counts,0
LTU,Lithuania,Other Perpetrator known to the victim,2017,Counts,60
LVA,Latvia,Other Perpetrator known to the victim,2017,Counts,35
MEX,Mexico,Other Perpetrator known to the victim,2017,Counts,1245
MNG,Mongolia,Other Perpetrator known to the victim,2017,Counts,278
NZL,New Zealand,Other Perpetrator known to the victim,2017,Counts,608
OMN,Oman,Other Perpetrator known to the victim,2017,Counts,78
PAN,Panama,Other Perpetrator known to the victim,2017,Counts,9
SLV,El Salvador,Other Perpetrator known to the victim,2017,Counts,49
VEN,Venezuela (Bolivarian Republic of),Other Perpetrator known to the victim,2017,Counts,0
AUT,Austria,Other Perpetrator known to the victim,2018,Counts,1475
BHS,Bahamas,Other Perpetrator known to the victim,2018,Counts,81
BOL,Bolivia (Plurinational State of),Other Perpetrator known to the victim,2018,Counts,271
CAN,Canada,Other Perpetrator known to the victim,2018,Counts,12424
CHE,Switzerland,Other Perpetrator known to the victim,2018,Counts,1032
COL,Colombia,Other Perpetrator known to the victim,2018,Counts,17919
DEU,Germany,Other Perpetrator known to the victim,2018,Counts,14969
ESP,Spain,Other Perpetrator known to the victim,2018,Counts,1200
GUY,Guyana,Other Perpetrator known to the victim,2018,Counts,199
HRV,Croatia,Other Perpetrator known to the victim,2018,Counts,101
HUN,Hungary,Other Perpetrator known to the victim,2018,Counts,94
KGZ,Kyrgyzstan,Other Perpetrator known to the victim,2018,Counts,144
KNA,Saint Kitts and Nevis,Other Perpetrator known to the victim,2018,Counts,0
LTU,Lithuania,Other Perpetrator known to the victim,2018,Counts,49
LVA,Latvia,Other Perpetrator known to the victim,2018,Counts,38
MEX,Mexico,Other Perpetrator known to the victim,2018,Counts,915
MMR,Myanmar,Other Perpetrator known to the victim,2018,Counts,196
MNG,Mongolia,Other Perpetrator known to the victim,2018,Counts,412
NZL,New Zealand,Other Perpetrator known to the victim,2018,Counts,508
OMN,Oman,Other Perpetrator known to the victim,2018,Counts,70
PAN,Panama,Other Perpetrator known to the victim,2018,Counts,27
SLV,El Salvador,Other Perpetrator known to the victim,2018,Counts,60
VEN,Venezuela (Bolivarian Republic of),Other Perpetrator known to the victim,2018,Counts,0
AUT,Austria,Other Perpetrator known to the victim,2019,Counts,1663
BOL,Bolivia (Plurinational State of),Other Perpetrator known to the victim,2019,Counts,412
CAN,Canada,Other Perpetrator known to the victim,2019,Counts,13786
CHE,Switzerland,Other Perpetrator known to the victim,2019,Counts,718
DEU,Germany,Other Perpetrator known to the victim,2019,Counts,15280
ESP,Spain,Other Perpetrator known to the victim,2019,Counts,1373
GUY,Guyana,Other Perpetrator known to the victim,2019,Counts,187
HRV,Croatia,Other Perpetrator known to the victim,2019,Counts,192
HUN,Hungary,Other Perpetrator known to the victim,2019,Counts,83
KGZ,Kyrgyzstan,Other Perpetrator known to the victim,2019,Counts,347
KNA,Saint Kitts and Nevis,Other Perpetrator known to the victim,2019,Counts,3
LTU,Lithuania,Other Perpetrator known to the victim,2019,Counts,58
LVA,Latvia,Other Perpetrator known to the victim,2019,Counts,58
MEX,Mexico,Other Perpetrator known to the victim,2019,Counts,1438
MNG,Mongolia,Other Perpetrator known to the victim,2019,Counts,385
PAN,Panama,Other Perpetrator known to the victim,2019,Counts,60
SLV,El Salvador,Other Perpetrator known to the victim,2019,Counts,342
SVN,Slovenia,Other Perpetrator known to the victim,2019,Counts,77
SWE,Sweden,Other Perpetrator known to the victim,2019,Counts,2471
AUT,Austria,Other Perpetrator known to the victim,2020,Counts,1628
BOL,Bolivia (Plurinational State of),Other Perpetrator known to the victim,2020,Counts,252
CAN,Canada,Other Perpetrator known to the victim,2020,Counts,12701
CHE,Switzerland,Other Perpetrator known to the victim,2020,Counts,772
CZE,Czechia,Other Perpetrator known to the victim,2020,Counts,460
DEU,Germany,Other Perpetrator known to the victim,2020,Counts,15473
ESP,Spain,Other Perpetrator known to the victim,2020,Counts,1326
GUY,Guyana,Other Perpetrator known to the victim,2020,Counts,75
HRV,Croatia,Other Perpetrator known to the victim,2020,Counts,144
HUN,Hungary,Other Perpetrator known to the victim,2020,Counts,147
KGZ,Kyrgyzstan,Other Perpetrator known to the victim,2020,Counts,296
KNA,Saint Kitts and Nevis,Other Perpetrator known to the victim,2020,Counts,1
LTU,Lithuania,Other Perpetrator known to the victim,2020,Counts,32
LVA,Latvia,Other Perpetrator known to the victim,2020,Counts,59
MAR,Morocco,Other Perpetrator known to the victim,2020,Counts,512
MEX,Mexico,Other Perpetrator known to the victim,2020,Counts,1603
MMR,Myanmar,Other Perpetrator known to the victim,2020,Counts,5
MNG,Mongolia,Other Perpetrator known to the victim,2020,Counts,401
OMN,Oman,Other Perpetrator known to the victim,2020,Counts,67
PAN,Panama,Other Perpetrator known to the victim,2020,Counts,25
SLV,El Salvador,Other Perpetrator known to the victim,2020,Counts,295
SVN,Slovenia,Other Perpetrator known to the victim,2020,Counts,67
SWE,Sweden,Other Perpetrator known to the victim,2020,Counts,3241
AUT,Austria,Other Perpetrator known to the victim,2021,Counts,1828
BHS,Bahamas,Other Perpetrator known to the victim,2021,Counts,28
BLZ,Belize,Other Perpetrator known to the victim,2021,Counts,2
BOL,Bolivia (Plurinational State of),Other Perpetrator known to the victim,2021,Counts,302
CAN,Canada,Other Perpetrator known to the victim,2021,Counts,14498
CHE,Switzerland,Other Perpetrator known to the victim,2021,Counts,848
COL,Colombia,Other Perpetrator known to the victim,2021,Counts,281
CZE,Czechia,Other Perpetrator known to the victim,2021,Counts,545
DEU,Germany,Other Perpetrator known to the victim,2021,Counts,16047
ESP,Spain,Other Perpetrator known to the victim,2021,Counts,1581
GUY,Guyana,Other Perpetrator known to the victim,2021,Counts,41
HRV,Croatia,Other Perpetrator known to the victim,2021,Counts,204
HUN,Hungary,Other Perpetrator known to the victim,2021,Counts,153
KNA,Saint Kitts and Nevis,Other Perpetrator known to the victim,2021,Counts,10
LTU,Lithuania,Other Perpetrator known to the victim,2021,Counts,35
LVA,Latvia,Other Perpetrator known to the victim,2021,Counts,60
MEX,Mexico,Other Perpetrator known to the victim,2021,Counts,5873
SLV,El Salvador,Other Perpetrator known to the victim,2021,Counts,304
SVN,Slovenia,Other Perpetrator known to the victim,2021,Counts,67
SWE,Sweden,Other Perpetrator known to the victim,2021,Counts,3800
VAT,Holy See,Other Perpetrator known to the victim,2021,Counts,0
AUT,Austria,Other Perpetrator known to the victim,2022,Counts,2148
BHS,Bahamas,Other Perpetrator known to the victim,2022,Counts,49
BOL,Bolivia (Plurinational State of),Other Perpetrator known to the victim,2022,Counts,395
CAN,Canada,Other Perpetrator known to the victim,2022,Counts,15157
CHE,Switzerland,Other Perpetrator known to the victim,2022,Counts,820
COL,Colombia,Other Perpetrator known to the victim,2022,Counts,203
CZE,Czechia,Other Perpetrator known to the victim,2022,Counts,586
DEU,Germany,Other Perpetrator known to the victim,2022,Counts,18317
ESP,Spain,Other Perpetrator known to the victim,2022,Counts,1599
GUY,Guyana,Other Perpetrator known to the victim,2022,Counts,45
HND,Honduras,Other Perpetrator known to the victim,2022,Counts,217
HRV,Croatia,Other Perpetrator known to the victim,2022,Counts,201
HUN,Hungary,Other Perpetrator known to the victim,2022,Counts,159
IRL,Ireland,Other Perpetrator known to the victim,2022,Counts,351
KNA,Saint Kitts and Nevis,Other Perpetrator known to the victim,2022,Counts,10
LTU,Lithuania,Other Perpetrator known to the victim,2022,Counts,36
LVA,Latvia,Other Perpetrator known to the victim,2022,Counts,87
MAR,Morocco,Other Perpetrator known to the victim,2022,Counts,94
MEX,Mexico,Other Perpetrator known to the victim,2022,Counts,8106
MMR,Myanmar,Other Perpetrator known to the victim,2022,Counts,86
SLV,El Salvador,Other Perpetrator known to the victim,2022,Counts,167
SVN,Slovenia,Other Perpetrator known to the victim,2022,Counts,85
SWE,Sweden,Other Perpetrator known to the victim,2022,Counts,3425
VAT,Holy See,Other Perpetrator known to the victim,2022,Counts,0
AUT,Austria,Perpetrator unknown to the victim,2013,Counts,104
CAN,Canada,Perpetrator unknown to the victim,2013,Counts,3608
CHE,Switzerland,Perpetrator unknown to the victim,2013,Counts,336
COL,Colombia,Perpetrator unknown to the victim,2013,Counts,1343
CZE,Czechia,Perpetrator unknown to the victim,2013,Counts,643
MMR,Myanmar,Perpetrator unknown to the victim,2013,Counts,24
SVN,Slovenia,Perpetrator unknown to the victim,2013,Counts,73
AUT,Austria,Perpetrator unknown to the victim,2014,Counts,153
CAN,Canada,Perpetrator unknown to the victim,2014,Counts,3556
CHE,Switzerland,Perpetrator unknown to the victim,2014,Counts,284
COL,Colombia,Perpetrator unknown to the victim,2014,Counts,1343
CZE,Czechia,Perpetrator unknown to the victim,2014,Counts,643
DEU,Germany,Perpetrator unknown to the victim,2014,Counts,13538
MMR,Myanmar,Perpetrator unknown to the victim,2014,Counts,16
SVN,Slovenia,Perpetrator unknown to the victim,2014,Counts,57
AUT,Austria,Perpetrator unknown to the victim,2015,Counts,161
CAN,Canada,Perpetrator unknown to the victim,2015,Counts,3844
CHE,Switzerland,Perpetrator unknown to the victim,2015,Counts,329
COL,Colombia,Perpetrator unknown to the victim,2015,Counts,1103
CZE,Czechia,Perpetrator unknown to the victim,2015,Counts,621
DEU,Germany,Perpetrator unknown to the victim,2015,Counts,13979
LTU,Lithuania,Perpetrator unknown to the victim,2015,Counts,44
MMR,Myanmar,Perpetrator unknown to the victim,2015,Counts,31
NZL,New Zealand,Perpetrator unknown to the victim,2015,Counts,249
SVK,Slovakia,Perpetrator unknown to the victim,2015,Counts,557
SVN,Slovenia,Perpetrator unknown to the victim,2015,Counts,43
VEN,Venezuela (Bolivarian Republic of),Perpetrator unknown to the victim,2015,Counts,4
AUT,Austria,Perpetrator unknown to the victim,2016,Counts,756
CAN,Canada,Perpetrator unknown to the victim,2016,Counts,4282
CHE,Switzerland,Perpetrator unknown to the victim,2016,Counts,323
COL,Colombia,Perpetrator unknown to the victim,2016,Counts,1116
CZE,Czechia,Perpetrator unknown to the victim,2016,Counts,615
DEU,Germany,Perpetrator unknown to the victim,2016,Counts,15906
ESP,Spain,Perpetrator unknown to the victim,2016,Counts,4172
GUY,Guyana,Perpetrator unknown to the victim,2016,Counts,0
HRV,Croatia,Perpetrator unknown to the victim,2016,Counts,13
HUN,Hungary,Perpetrator unknown to the victim,2016,Counts,91
LTU,Lithuania,Perpetrator unknown to the victim,2016,Counts,25
LVA,Latvia,Perpetrator unknown to the victim,2016,Counts,31
MMR,Myanmar,Perpetrator unknown to the victim,2016,Counts,24
MNG,Mongolia,Perpetrator unknown to the victim,2016,Counts,116
NZL,New Zealand,Perpetrator unknown to the victim,2016,Counts,237
SVK,Slovakia,Perpetrator unknown to the victim,2016,Counts,549
SVN,Slovenia,Perpetrator unknown to the victim,2016,Counts,60
